"","ECLAC/CELADE Redatam+SP 6/16/2023","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","...82","...83","...84","...85","...86","...87","...88","...89","...90","...91","...92","...93","...94"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"AREA # 010101","Myitkyina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"16",NA,"No - no difficulty","2892","2657","2820","2840","2875","2801","2859","3209","3074","3029","3199","2975","3474","3825","3397","3145","3198","3362","3728","3161","3701","2759","2910","2998","2650","3044","2506","2512","2765","2294","3326","2070","2505","2321","1917","2591","1865","1877","2257","1764","2445","1502","2012","1782","1453","2098","1297","1261","1384","996","1548","850","1134","1050","994","1009","847","765","834","605","963","452","587","558","512","641","355","475","347","209","423","206","243","254","206","295","169","111","167","70","164","57","77","69","76","95","50","30","23","27","123","147052"
"17",NA,"Yes - some difficulty","8","1","1","-","1","4","3","6","4","-","4","5","4","10","5","4","8","15","9","6","7","4","5","7","2","8","7","3","9","5","7","2","7","10","2","7","10","6","10","6","18","8","8","5","12","14","10","5","12","9","24","7","17","15","19","14","19","12","16","14","29","14","13","24","15","25","22","27","19","13","37","19","14","17","19","38","22","15","16","15","26","13","17","14","13","15","8","7","4","6","38","1054"
"18",NA,"Yes - a lot of difficulty","1","2","-","-","-","-","4","1","-","1","1","-","1","2","2","-","5","-","2","1","1","3","1","1","1","1","2","2","1","-","4","1","1","-","-","3","2","1","-","-","3","1","2","2","5","2","1","1","3","3","5","-","1","3","4","6","6","2","2","2","2","4","6","2","-","6","4","6","3","2","11","2","3","5","6","8","-","2","5","2","11","1","3","3","-","7","1","2","4","3","20","236"
"19",NA,"Yes - cannot hear at all","-","1","1","1","1","1","2","1","-","2","4","1","1","3","-","1","1","-","1","2","1","2","2","3","-","2","2","-","-","4","2","3","1","3","1","5","1","1","-","1","2","1","1","-","-","6","1","2","3","1","4","-","3","2","3","2","1","3","2","2","1","-","1","2","1","-","-","-","2","1","3","-","1","4","1","5","1","2","3","1","4","-","1","-","1","2","2","-","-","1","6","143"
"20",NA,"Total","2901","2661","2822","2841","2877","2806","2868","3217","3078","3032","3208","2981","3480","3840","3404","3150","3212","3377","3740","3170","3710","2768","2918","3009","2653","3055","2517","2517","2775","2303","3339","2076","2514","2334","1920","2606","1878","1885","2267","1771","2468","1512","2023","1789","1470","2120","1309","1269","1402","1009","1581","857","1155","1070","1020","1031","873","782","854","623","995","470","607","586","528","672","381","508","371","225","474","227","261","280","232","346","192","130","191","88","205","71","98","86","90","119","61","39","31","37","187","148485"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"AREA # 010102","Waingmaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"26",NA,"No - no difficulty","1161","1065","1138","1228","1220","1308","1218","1286","1236","1277","1310","1089","1345","1357","1260","1064","1097","1059","1269","935","1177","738","862","832","766","975","782","709","862","720","1226","616","784","730","561","857","634","639","690","547","905","509","630","655","490","724","432","394","464","307","641","299","408","396","358","409","356","268","289","197","391","143","183","190","137","226","133","138","95","63","149","55","75","91","65","109","57","37","45","17","57","22","22","18","13","23","15","8","9","6","38","51390"
"27",NA,"Yes - some difficulty","3","1","2","-","-","3","7","8","4","11","6","5","12","7","14","6","9","10","7","4","8","2","7","6","6","13","5","5","7","5","13","9","6","10","9","7","10","7","9","9","15","6","13","14","10","16","9","7","16","10","31","17","23","18","16","15","26","14","20","17","46","19","17","31","21","21","14","10","20","8","35","12","16","20","17","25","15","13","16","5","22","3","5","7","8","9","8","7","2","3","10","1050"
"28",NA,"Yes - a lot of difficulty","4","-","1","1","-","-","2","-","3","1","-","2","-","4","1","-","3","1","1","1","2","3","-","1","4","3","1","4","-","3","3","1","1","-","-","4","2","-","-","-","3","-","-","-","2","3","2","1","3","1","7","-","5","5","3","6","3","1","3","3","4","1","3","1","1","4","1","5","4","3","1","2","2","4","2","6","4","1","3","2","6","2","2","3","1","2","3","-","1","-","9","191"
"29",NA,"Yes - cannot hear at all","2","-","-","-","-","-","1","-","1","1","1","1","-","2","-","1","-","1","1","1","-","-","2","-","-","1","1","2","1","1","-","-","-","-","1","1","-","2","-","1","2","1","-","-","-","4","1","1","-","-","1","1","1","1","-","-","-","2","-","2","2","-","-","2","-","1","-","-","-","-","3","-","1","-","-","2","-","-","2","1","1","1","-","-","-","3","-","-","1","-","4","67"
"30",NA,"Total","1170","1066","1141","1229","1220","1311","1228","1294","1244","1290","1317","1097","1357","1370","1275","1071","1109","1071","1278","941","1187","743","871","839","776","992","789","720","870","729","1242","626","791","740","571","869","646","648","699","557","925","516","643","669","502","747","444","403","483","318","680","317","437","420","377","430","385","285","312","219","443","163","203","224","159","252","148","153","119","74","188","69","94","115","84","142","76","51","66","25","86","28","29","28","22","37","26","15","13","9","61","52698"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"AREA # 010103","Ingyanyan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"36",NA,"No - no difficulty","21","28","16","22","15","25","20","20","31","16","21","21","26","23","16","18","14","22","19","20","23","17","13","10","17","22","14","28","22","12","13","16","18","12","9","26","11","15","13","10","21","7","15","6","3","15","8","11","12","4","13","4","9","7","4","8","4","7","2","1","3","-","3","1","1","2","1","2","2","3","5","1","1","2","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","925"
"37",NA,"Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","1","-","-","1","1","-","-","-","-","1","-","-","-","-","2","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13"
"38",NA,"Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6"
"39",NA,"Yes - cannot hear at all","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2"
"40",NA,"Total","21","28","16","22","15","25","20","20","31","16","22","21","26","24","16","18","14","22","19","22","25","17","13","12","18","22","15","28","22","12","13","16","19","12","9","27","12","15","13","10","21","8","15","6","3","15","10","11","12","5","14","4","10","7","4","8","4","7","2","1","3","-","4","1","1","2","1","2","2","3","5","1","1","2","-","-","1","-","-","1","-","-","1","-","-","-","-","-","-","-","-","946"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"AREA # 010104","Tanaing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"46",NA,"No - no difficulty","589","554","520","563","531","511","571","547","534","505","568","447","522","542","509","475","460","451","610","463","600","446","485","514","455","626","504","507","564","432","743","379","558","485","419","543","363","390","424","310","542","262","352","331","265","400","219","201","196","171","268","138","155","170","146","177","142","84","99","85","148","53","43","70","49","76","39","43","30","18","65","20","12","22","11","23","7","9","11","5","19","2","5","7","6","12","1","2","3","-","20","25453"
"47",NA,"Yes - some difficulty","-","1","-","-","1","2","2","3","-","1","2","1","2","-","4","4","4","-","1","1","4","1","4","2","1","6","3","4","4","2","3","1","3","3","3","4","2","2","5","1","4","2","5","2","3","6","3","7","2","5","9","2","6","9","2","7","6","5","5","4","6","1","3","2","1","3","2","7","3","-","10","1","3","2","3","1","3","-","5","1","4","1","1","1","2","1","-","1","1","1","8","259"
"48",NA,"Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","1","-","-","-","2","-","-","1","1","-","1","-","-","2","1","-","-","1","1","-","2","-","-","-","1","2","1","-","-","-","2","-","-","1","-","1","-","-","-","-","-","1","-","1","1","4","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","2","33"
"49",NA,"Yes - cannot hear at all","-","-","-","-","1","1","-","1","1","-","-","-","1","1","-","-","-","1","1","-","-","1","1","-","-","-","1","1","1","-","-","-","1","1","-","1","-","-","1","-","1","-","-","-","-","2","1","-","2","-","-","-","-","-","-","-","1","1","-","-","2","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28"
"50",NA,"Total","589","555","520","563","533","514","573","551","535","506","571","448","525","543","515","479","464","453","613","464","605","448","490","518","457","632","508","513","570","434","748","380","562","489","423","550","366","392","430","311","549","264","357","334","268","409","223","208","200","176","277","141","161","180","149","188","150","90","104","89","156","54","46","72","50","80","41","50","33","18","75","21","16","24","14","24","10","9","16","6","23","3","6","8","8","13","2","3","4","1","30","25773"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"AREA # 010105","Chiphwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
