"","ECLAC/CELADE Redatam+SP 6/23/2023","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","...82","...83","...84","...85","...86","...87","...88","...89","...90","...91","...92","...93","...94"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"AREA # 010101","Myitkyina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"16",NA,"No - no difficulty","2713","2544","2739","2806","2881","2681","2714","3054","3127","2991","3154","2879","3263","3714","3699","3271","3486","3710","4163","3419","4009","2854","2995","2996","2589","3071","2488","2403","2746","2341","3294","2055","2429","2252","1955","2550","2008","2037","2294","1727","2746","1607","2000","1949","1698","2249","1452","1358","1723","1266","2058","1034","1478","1404","1294","1436","1192","957","1043","722","1339","549","710","779","632","911","470","584","554","329","722","275","377","360","306","490","230","204","269","113","365","99","106","110","112","147","70","75","58","43","237","156392"
"17",NA,"Yes - some difficulty","7","1","-","2","-","3","1","5","5","5","4","4","5","10","5","4","4","6","12","1","4","6","6","5","7","4","5","6","4","4","10","5","6","9","8","9","12","6","12","6","19","5","10","6","6","17","10","15","15","9","40","13","22","23","32","25","27","15","20","17","56","16","20","32","29","50","23","31","31","26","69","22","34","37","41","64","27","18","34","21","76","15","28","19","16","34","10","16","11","18","76","1564"
"18",NA,"Yes - a lot of difficulty","-","-","-","2","1","1","-","1","-","1","1","1","1","1","1","1","2","4","2","-","2","-","2","2","3","1","2","1","-","1","2","3","-","-","-","2","1","1","2","1","6","-","2","1","2","4","4","4","2","-","6","1","3","1","1","1","4","3","5","2","9","-","-","1","4","5","2","5","3","1","19","1","7","12","3","16","7","6","9","8","11","4","6","3","5","15","4","2","3","2","33","304"
"19",NA,"Yes - cannot hear at all","-","-","-","1","2","-","3","-","1","2","-","4","-","3","-","3","1","2","1","3","4","3","2","4","2","2","1","3","1","-","4","2","-","1","1","4","1","2","2","2","2","2","-","1","2","2","-","-","2","-","6","5","3","5","3","1","2","2","-","1","4","2","3","-","1","3","2","2","2","1","3","2","4","1","3","2","3","-","-","3","12","-","4","5","1","5","1","1","2","1","25","204"
"20",NA,"Total","2720","2545","2739","2811","2884","2685","2718","3060","3133","2999","3159","2888","3269","3728","3705","3279","3493","3722","4178","3423","4019","2863","3005","3007","2601","3078","2496","2413","2751","2346","3310","2065","2435","2262","1964","2565","2022","2046","2310","1736","2773","1614","2012","1957","1708","2272","1466","1377","1742","1275","2110","1053","1506","1433","1330","1463","1225","977","1068","742","1408","567","733","812","666","969","497","622","590","357","813","300","422","410","353","572","267","228","312","145","464","118","144","137","134","201","85","94","74","64","371","158464"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"AREA # 010102","Waingmaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"26",NA,"No - no difficulty","1215","1079","1216","1226","1197","1191","1158","1268","1271","1189","1266","1107","1324","1336","1237","1079","1049","1043","1119","851","1047","778","778","807","783","900","673","692","853","733","1025","577","676","709","588","781","674","580","696","505","915","438","636","626","469","766","473","401","546","386","825","342","491","485","402","551","398","298","339","225","552","211","240","245","193","298","153","172","166","93","312","93","109","104","78","121","77","29","75","33","119","20","36","35","28","41","16","15","9","9","61","52031"
"27",NA,"Yes - some difficulty","4","1","3","1","4","2","7","5","8","11","5","5","8","5","6","8","4","4","5","6","2","7","5","4","4","8","-","7","6","11","16","4","10","11","10","4","9","7","9","5","27","9","14","9","12","15","23","15","19","11","34","27","23","23","24","35","28","18","19","20","55","20","32","21","27","30","20","29","29","14","74","11","21","18","16","42","20","20","12","11","51","3","7","11","11","19","6","7","9","9","25","1326"
"28",NA,"Yes - a lot of difficulty","1","1","-","-","-","-","-","-","2","2","-","2","3","1","2","1","-","-","2","-","1","-","2","1","-","-","-","1","1","1","1","2","-","3","4","-","-","-","3","3","5","-","-","1","1","4","-","3","3","2","8","-","4","3","3","8","2","2","2","1","8","2","2","4","1","4","2","1","4","1","14","1","3","3","3","5","2","1","6","-","12","-","4","3","4","8","1","3","2","3","26","225"
"29",NA,"Yes - cannot hear at all","-","-","-","-","-","1","-","-","-","1","2","1","2","-","-","-","1","1","-","-","1","-","1","2","1","1","-","1","3","-","2","2","-","1","-","2","1","1","-","-","2","1","2","-","-","1","-","3","3","-","3","1","1","2","-","1","2","2","-","-","4","1","-","-","-","1","2","1","-","1","2","-","1","-","1","1","1","1","1","-","5","1","-","1","-","-","-","1","-","1","7","86"
"30",NA,"Total","1220","1081","1219","1227","1201","1194","1165","1273","1281","1203","1273","1115","1337","1342","1245","1088","1054","1048","1126","857","1051","785","786","814","788","909","673","701","863","745","1044","585","686","724","602","787","684","588","708","513","949","448","652","636","482","786","496","422","571","399","870","370","519","513","429","595","430","320","360","246","619","234","274","270","221","333","177","203","199","109","402","105","134","125","98","169","100","51","94","44","187","24","47","50","43","68","23","26","20","22","119","53668"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"AREA # 010103","Ingyanyan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"36",NA,"No - no difficulty","18","22","23","19","15","19","31","15","19","15","21","15","14","21","18","17","18","11","17","10","15","11","9","18","11","22","8","16","16","12","22","8","12","7","5","19","9","7","11","8","6","12","12","8","5","16","4","6","9","2","12","5","9","3","5","5","2","2","6","1","9","2","2","-","2","1","1","-","2","1","-","-","-","1","-","2","-","-","1","-","1","-","1","1","-","-","-","1","-","-","-","762"
"37",NA,"Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","1","-","-","-","-","-","-","-","-","1","-","-","-","-","-","2","-","-","-","-","-","-","-","1","1","-","1","1","-","-","-","-","-","-","-","1","2","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","18"
"38",NA,"Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3"
"39",NA,"Yes - cannot hear at all","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","3"
"40",NA,"Total","18","22","23","19","15","19","31","15","19","15","21","15","14","21","19","17","18","11","18","10","16","11","10","19","11","22","8","16","16","13","22","8","12","7","5","21","9","7","11","8","6","12","12","9","6","16","5","7","9","2","12","5","11","3","5","6","4","2","6","1","10","2","2","1","2","1","1","-","2","1","-","-","-","2","-","3","-","-","1","-","2","-","1","1","-","-","-","2","-","-","1","786"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"AREA # 010104","Tanaing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"46",NA,"No - no difficulty","550","472","523","513","527","498","476","557","530","469","501","430","460","501","453","462","404","400","523","393","529","353","460","402","376","453","364","358","456","357","616","329","389","362","296","371","329","273","332","258","453","204","297","267","231","378","199","171","200","144","345","137","159","167","158","183","131","115","100","62","191","46","62","67","54","111","37","45","36","22","93","16","21","32","21","41","16","5","13","8","48","1","11","10","7","12","3","4","3","3","22","22467"
"47",NA,"Yes - some difficulty","-","1","-","-","1","-","2","2","1","1","3","4","1","1","-","2","2","1","1","1","-","-","-","2","3","1","1","1","3","-","2","2","1","6","3","3","2","2","1","2","5","2","4","4","3","8","1","2","3","3","12","2","2","2","2","7","6","4","2","1","12","3","8","3","3","12","1","3","3","2","13","1","2","5","2","11","2","2","2","-","15","1","-","1","-","4","-","-","-","-","11","256"
"48",NA,"Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","1","-","-","-","-","1","-","-","-","1","1","-","-","-","-","-","-","1","-","-","-","3","-","-","-","-","1","-","-","-","-","1","-","1","-","-","2","-","1","1","-","2","-","-","-","1","2","3","-","-","1","1","-","-","-","-","3","-","-","-","-","-","-","1","-","1","2","-","-","-","2","2","-","-","-","-","-","-","-","-","-","8","44"
"49",NA,"Yes - cannot hear at all","-","-","-","-","1","-","-","-","-","1","-","-","-","2","-","-","1","-","-","-","1","-","-","-","2","3","-","-","-","1","-","-","-","-","1","1","-","-","2","-","2","-","-","-","-","1","-","-","-","1","-","-","1","-","1","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","26"
"50",NA,"Total","550","473","523","513","529","498","478","559","531","472","504","434","461","504","454","464","407","401","525","395","530","353","460","404","381","457","366","359","459","358","621","331","390","368","300","376","331","275","335","260","461","206","302","271","234","389","200","174","204","148","359","139","162","169","162","192","140","119","102","65","204","49","70","71","57","126","38","48","39","24","106","17","24","37","24","54","18","7","15","10","65","2","11","11","7","16","3","4","3","3","43","22793"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"AREA # 010105","Chiphwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
