"","ECLAC/CELADE Redatam+SP 6/23/2023","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","...82","...83","...84","...85","...86","...87","...88","...89","...90","...91","...92","...93","...94"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"AREA # 010101","Myitkyina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"16",NA,"No - no difficulty","2868","2638","2811","2830","2863","2795","2854","3209","3064","3020","3193","2975","3471","3824","3395","3134","3196","3365","3725","3156","3696","2758","2903","2989","2642","3032","2509","2501","2752","2292","3317","2066","2488","2322","1908","2587","1868","1865","2242","1754","2428","1497","1990","1768","1452","2100","1291","1248","1372","988","1546","843","1115","1050","990","1005","841","758","824","612","956","457","587","547","505","642","361","483","342","208","435","215","245","251","209","311","180","116","164","77","177","64","82","73","70","99","46","30","27","20","139","146713"
"17",NA,"Yes - some difficulty","15","13","4","8","4","5","3","3","8","4","6","3","6","9","6","7","9","8","10","10","6","8","8","11","11","14","6","6","18","6","14","7","16","8","8","14","6","14","19","12","26","12","18","11","13","14","14","16","22","17","20","13","30","14","23","13","21","14","19","6","18","8","12","25","17","16","15","19","17","14","27","11","7","13","17","28","6","7","13","9","13","7","12","5","10","14","8","7","1","11","15","1091"
"18",NA,"Yes - a lot of difficulty","7","8","2","-","2","4","6","1","2","3","2","3","-","2","1","7","5","4","2","4","8","-","4","5","-","5","2","8","2","3","5","2","6","2","1","4","4","4","3","2","10","2","9","7","3","4","2","3","8","2","11","1","7","4","6","11","9","5","5","3","13","1","5","8","3","4","3","5","8","1","8","-","6","10","2","7","4","4","11","-","8","-","3","5","6","5","3","1","2","3","17","403"
"19",NA,"Yes - cannot walk at all","11","2","5","3","8","2","5","4","4","5","7","-","3","5","2","2","2","-","3","-","-","2","3","4","-","4","-","2","3","2","3","1","4","2","3","1","-","2","3","3","4","1","6","3","2","2","2","2","-","2","4","-","3","2","1","2","2","5","6","2","8","4","3","6","3","10","2","1","4","2","4","1","3","6","4","-","2","3","3","2","7","-","1","3","4","1","4","1","1","3","16","278"
"20",NA,"Total","2901","2661","2822","2841","2877","2806","2868","3217","3078","3032","3208","2981","3480","3840","3404","3150","3212","3377","3740","3170","3710","2768","2918","3009","2653","3055","2517","2517","2775","2303","3339","2076","2514","2334","1920","2606","1878","1885","2267","1771","2468","1512","2023","1789","1470","2120","1309","1269","1402","1009","1581","857","1155","1070","1020","1031","873","782","854","623","995","470","607","586","528","672","381","508","371","225","474","227","261","280","232","346","192","130","191","88","205","71","98","86","90","119","61","39","31","37","187","148485"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"AREA # 010102","Waingmaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"26",NA,"No - no difficulty","1124","1047","1129","1218","1215","1306","1215","1289","1234","1284","1309","1089","1349","1358","1264","1063","1103","1064","1265","930","1174","734","858","832","767","987","781","704","857","719","1229","615","776","731","560","858","638","640","685","548","896","503","633","653","487","729","427","390","468","309","657","307","418","400","364","413","357","267","302","208","412","147","191","199","140","234","134","136","104","68","160","60","81","97","71","128","64","39","55","18","64","24","24","22","17","26","16","9","11","7","42","51536"
"27",NA,"Yes - some difficulty","24","17","8","5","4","1","8","4","1","4","6","2","6","6","7","5","4","2","7","6","8","5","9","3","6","5","4","10","9","5","9","9","11","7","9","6","6","5","12","8","20","8","8","11","9","14","13","11","10","7","19","9","16","18","11","13","24","12","7","7","22","14","7","19","13","16","12","12","11","6","19","7","8","11","13","10","10","9","6","3","16","2","3","5","4","6","5","4","1","2","8","804"
"28",NA,"Yes - a lot of difficulty","18","2","3","3","1","2","2","-","1","1","1","1","2","5","3","3","-","3","1","3","4","3","2","2","2","-","3","3","3","3","2","1","4","1","2","5","2","2","2","1","7","4","2","5","5","4","2","1","3","1","3","-","3","1","2","3","2","5","3","1","5","1","3","4","5","2","2","2","3","-","4","1","2","5","-","3","2","3","3","2","5","2","2","1","-","1","3","-","1","-","7","233"
"29",NA,"Yes - cannot walk at all","4","-","1","3","-","2","3","1","8","1","1","5","-","1","1","-","2","2","5","2","1","1","2","2","1","-","1","3","1","2","2","1","-","1","-","-","-","1","-","-","2","1","-","-","1","-","2","1","2","1","1","1","-","1","-","1","2","1","-","3","4","1","2","2","1","-","-","3","1","-","5","1","3","2","-","1","-","-","2","2","1","-","-","-","1","4","2","2","-","-","4","125"
"30",NA,"Total","1170","1066","1141","1229","1220","1311","1228","1294","1244","1290","1317","1097","1357","1370","1275","1071","1109","1071","1278","941","1187","743","871","839","776","992","789","720","870","729","1242","626","791","740","571","869","646","648","699","557","925","516","643","669","502","747","444","403","483","318","680","317","437","420","377","430","385","285","312","219","443","163","203","224","159","252","148","153","119","74","188","69","94","115","84","142","76","51","66","25","86","28","29","28","22","37","26","15","13","9","61","52698"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"AREA # 010103","Ingyanyan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"36",NA,"No - no difficulty","21","28","16","21","15","25","20","20","31","16","22","21","26","24","16","18","14","22","19","20","25","17","13","11","18","22","14","28","22","12","13","15","19","12","9","27","12","15","12","10","21","8","15","6","3","15","10","11","11","5","14","4","9","6","4","8","4","7","2","1","3","-","4","1","1","2","1","2","2","2","5","1","1","2","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","934"
"37",NA,"Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","7"
"38",NA,"Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3"
"39",NA,"Yes - cannot walk at all","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2"
"40",NA,"Total","21","28","16","22","15","25","20","20","31","16","22","21","26","24","16","18","14","22","19","22","25","17","13","12","18","22","15","28","22","12","13","16","19","12","9","27","12","15","13","10","21","8","15","6","3","15","10","11","12","5","14","4","10","7","4","8","4","7","2","1","3","-","4","1","1","2","1","2","2","3","5","1","1","2","-","-","1","-","-","1","-","-","1","-","-","-","-","-","-","-","-","946"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"AREA # 010104","Tanaing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"46",NA,"No - no difficulty","588","554","520","562","529","512","573","550","534","503","569","444","524","542","513","477","463","452","613","461","600","448","485","515","457","628","507","507","567","428","745","376","558","487","420","543","363","390","426","310","541","260","351","333","261","404","220","201","197","171","270","137","158","173","145","184","148","87","98","88","151","54","43","70","47","76","37","49","31","18","66","19","13","22","13","24","6","8","13","3","20","2","6","7","5","10","2","2","3","1","24","25515"
"47",NA,"Yes - some difficulty","1","1","-","-","3","2","-","-","1","1","1","3","-","1","1","1","1","-","-","2","5","-","2","3","-","2","1","3","2","4","3","3","3","2","1","4","3","1","2","-","4","4","5","1","6","3","3","3","2","4","6","2","2","6","3","4","2","3","5","-","5","-","3","2","2","3","3","1","1","-","6","2","3","1","1","-","3","1","3","3","3","1","-","1","2","2","-","1","1","-","5","190"
"48",NA,"Yes - a lot of difficulty","-","-","-","-","-","-","-","1","-","1","1","1","-","-","-","1","-","-","-","1","-","-","3","-","-","2","-","2","1","1","-","1","1","-","2","2","-","1","1","1","3","-","-","-","1","2","-","2","-","1","1","1","1","1","-","-","-","-","1","-","-","-","-","-","1","1","1","-","1","-","2","-","-","1","-","-","1","-","-","-","-","-","-","-","1","-","-","-","-","-","-","47"
"49",NA,"Yes - cannot walk at all","-","-","-","1","1","-","-","-","-","1","-","-","1","-","1","-","-","1","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-","1","-","-","1","-","1","-","1","-","-","-","-","2","1","-","-","1","-","-","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","1","21"
"50",NA,"Total","589","555","520","563","533","514","573","551","535","506","571","448","525","543","515","479","464","453","613","464","605","448","490","518","457","632","508","513","570","434","748","380","562","489","423","550","366","392","430","311","549","264","357","334","268","409","223","208","200","176","277","141","161","180","149","188","150","90","104","89","156","54","46","72","50","80","41","50","33","18","75","21","16","24","14","24","10","9","16","6","23","3","6","8","8","13","2","3","4","1","30","25773"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"AREA # 010105","Chiphwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
