"","ECLAC/CELADE Redatam+SP 6/23/2023","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","...82","...83","...84","...85","...86","...87","...88","...89","...90","...91","...92","...93","...94"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"AREA # 010101","Myitkyina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"16",NA,"No - no difficulty","2693","2530","2732","2799","2870","2679","2709","3052","3126","2985","3152","2880","3259","3718","3693","3274","3486","3713","4169","3415","4008","2857","2996","2997","2593","3069","2486","2410","2746","2338","3297","2055","2427","2256","1956","2551","2011","2038","2299","1723","2750","1608","1998","1944","1697","2249","1457","1365","1714","1257","2078","1030","1477","1410","1307","1437","1197","955","1033","722","1351","545","704","776","640","914","460","575","556","334","739","278","383","367","313","503","230","203","270","113","385","98","119","110","108","157","63","67","59","40","238","156430"
"17",NA,"Yes - some difficulty","13","11","2","5","6","4","1","2","4","7","2","5","5","4","5","-","2","4","7","3","6","1","5","4","2","3","7","2","3","4","6","5","4","5","6","11","9","7","9","9","15","5","10","9","10","16","6","10","18","13","26","13","26","17","13","19","21","12","26","16","41","15","23","28","16","35","19","34","26","18","54","17","25","25","24","47","26","16","33","20","44","9","16","15","19","25","13","16","9","10","61","1280"
"18",NA,"Yes - a lot of difficulty","4","-","2","2","4","-","3","3","3","3","3","1","3","1","5","3","2","2","1","4","2","2","1","-","2","3","2","1","-","1","3","2","3","1","1","3","1","-","1","2","4","1","2","2","-","5","2","2","6","4","3","3","2","5","8","5","5","8","4","2","13","6","4","6","3","15","11","10","4","4","14","4","7","15","8","15","7","3","6","10","19","6","4","6","5","13","5","3","3","7","34","423"
"19",NA,"Yes - cannot walk at all","10","4","3","5","4","2","5","3","-","4","2","2","2","5","2","2","3","3","1","1","3","3","3","6","4","3","1","-","2","3","4","3","1","-","1","-","1","1","1","2","4","-","2","2","1","2","1","-","4","1","3","7","1","1","2","2","2","2","5","2","3","1","2","2","7","5","7","3","4","1","6","1","7","3","8","7","4","6","3","2","16","5","5","6","2","6","4","8","3","7","38","331"
"20",NA,"Total","2720","2545","2739","2811","2884","2685","2718","3060","3133","2999","3159","2888","3269","3728","3705","3279","3493","3722","4178","3423","4019","2863","3005","3007","2601","3078","2496","2413","2751","2346","3310","2065","2435","2262","1964","2565","2022","2046","2310","1736","2773","1614","2012","1957","1708","2272","1466","1377","1742","1275","2110","1053","1506","1433","1330","1463","1225","977","1068","742","1408","567","733","812","666","969","497","622","590","357","813","300","422","410","353","572","267","228","312","145","464","118","144","137","134","201","85","94","74","64","371","158464"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"AREA # 010102","Waingmaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"26",NA,"No - no difficulty","1175","1069","1203","1217","1196","1188","1156","1269","1268","1192","1266","1106","1325","1333","1234","1079","1052","1039","1118","850","1036","777","780","808","782","898","668","689","857","741","1032","583","681","715","592","779","675","580","701","506","928","437","644","621","477","765","483","409","557","385","838","355","495","490","404","567","407","304","343","233","580","218","249","246","192","300","153","180","177","92","330","99","112","103","76","133","85","38","74","35","124","20","37","36","26","50","14","16","14","11","61","52238"
"27",NA,"Yes - some difficulty","30","7","12","8","4","3","6","2","8","8","5","6","8","4","8","6","1","7","6","7","10","5","4","5","2","9","3","9","3","2","10","2","3","6","8","4","8","4","5","4","18","10","8","11","1","16","11","12","13","13","25","14","19","16","23","24","20","13","17","10","32","15","20","20","22","26","18","17","19","12","47","3","17","16","15","25","11","12","13","5","45","3","7","11","11","10","6","7","5","6","21","1043"
"28",NA,"Yes - a lot of difficulty","11","3","4","1","1","2","1","1","2","2","-","2","1","2","2","2","-","1","-","-","1","2","2","-","3","1","-","2","1","2","1","-","2","1","-","2","1","3","2","2","2","-","-","3","2","5","2","1","1","1","6","-","4","5","2","3","2","1","-","-","5","1","4","3","7","3","3","5","1","4","18","3","3","3","5","8","4","1","5","3","10","-","3","2","6","6","3","1","-","2","25","253"
"29",NA,"Yes - cannot walk at all","4","2","-","1","-","1","2","1","3","1","2","1","3","3","1","1","1","1","2","-","4","1","-","1","1","1","2","1","2","-","1","-","-","2","2","2","-","1","-","1","1","1","-","1","2","-","-","-","-","-","1","1","1","2","-","1","1","2","-","3","2","-","1","1","-","4","3","1","2","1","7","-","2","3","2","3","-","-","2","1","8","1","-","1","-","2","-","2","1","3","12","134"
"30",NA,"Total","1220","1081","1219","1227","1201","1194","1165","1273","1281","1203","1273","1115","1337","1342","1245","1088","1054","1048","1126","857","1051","785","786","814","788","909","673","701","863","745","1044","585","686","724","602","787","684","588","708","513","949","448","652","636","482","786","496","422","571","399","870","370","519","513","429","595","430","320","360","246","619","234","274","270","221","333","177","203","199","109","402","105","134","125","98","169","100","51","94","44","187","24","47","50","43","68","23","26","20","22","119","53668"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"AREA # 010103","Ingyanyan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"36",NA,"No - no difficulty","18","22","23","19","15","19","31","15","19","15","21","15","13","21","19","16","17","11","18","10","16","11","9","19","11","22","8","16","16","13","21","8","12","7","5","20","9","7","11","8","6","12","12","9","6","16","5","7","9","2","11","5","11","3","5","6","4","2","6","1","10","1","2","1","2","1","1","-","2","1","-","-","-","2","-","3","-","-","1","-","2","-","1","1","-","-","-","2","-","-","-","777"
"37",NA,"Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7"
"38",NA,"Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"39",NA,"Yes - cannot walk at all","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1"
"40",NA,"Total","18","22","23","19","15","19","31","15","19","15","21","15","14","21","19","17","18","11","18","10","16","11","10","19","11","22","8","16","16","13","22","8","12","7","5","21","9","7","11","8","6","12","12","9","6","16","5","7","9","2","12","5","11","3","5","6","4","2","6","1","10","2","2","1","2","1","1","-","2","1","-","-","-","2","-","3","-","-","1","-","2","-","1","1","-","-","-","2","-","-","1","786"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"AREA # 010104","Tanaing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"46",NA,"No - no difficulty","550","472","521","511","529","497","476","556","529","470","503","433","458","500","454","463","402","401","523","392","527","352","460","402","379","454","365","356","458","355","619","329","389","368","300","375","328","274","330","259","455","204","298","269","231","384","198","173","200","146","353","137","160","168","159","181","136","117","101","63","195","47","65","62","56","117","38","47","34","23","99","16","21","34","19","44","15","6","13","9","49","1","11","10","6","13","3","4","3","3","25","22540"
"47",NA,"Yes - some difficulty","-","1","1","-","-","-","1","1","-","1","1","1","1","4","-","1","2","-","1","2","2","-","-","-","-","2","1","2","-","2","2","2","-","-","-","1","2","1","4","1","5","1","3","1","2","5","2","1","3","2","6","2","2","1","1","8","4","2","1","2","6","2","4","8","1","7","-","1","4","1","6","1","3","3","5","9","3","1","1","-","13","1","-","-","1","2","-","-","-","-","10","187"
"48",NA,"Yes - a lot of difficulty","-","-","-","2","-","-","-","-","1","-","-","-","2","-","-","-","2","-","-","-","-","1","-","-","1","1","-","1","1","1","-","-","1","-","-","-","1","-","-","-","-","1","1","-","1","-","-","-","1","-","-","-","-","-","2","1","-","-","-","-","2","-","1","1","-","2","-","-","1","-","1","-","-","-","-","1","-","-","1","1","2","-","-","-","-","1","-","-","-","-","4","40"
"49",NA,"Yes - cannot walk at all","-","-","1","-","-","1","1","2","1","1","-","-","-","-","-","-","1","-","1","1","1","-","-","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","4","26"
"50",NA,"Total","550","473","523","513","529","498","478","559","531","472","504","434","461","504","454","464","407","401","525","395","530","353","460","404","381","457","366","359","459","358","621","331","390","368","300","376","331","275","335","260","461","206","302","271","234","389","200","174","204","148","359","139","162","169","162","192","140","119","102","65","204","49","70","71","57","126","38","48","39","24","106","17","24","37","24","54","18","7","15","10","65","2","11","11","7","16","3","4","3","3","43","22793"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"AREA # 010105","Chiphwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
